name,web address,description,documentation,endpoints,access mechanisms (protocols and standardised access),serialization formats,common identifiers used for the entities,access and rate limitations,legal rights,scope,taxonomies,TDM,software implementation,legal body,Github/Gitlab,accronim,Namespaces,type,metadata schemas,bulk download
American Archive of Public Broadcasting API,https://github.com/WGBH-MLA/AAPB2#api,"At this moment the API is experimental: No key is required, but we also do not guarantee continued availability.The OAI-PMH feed can be used to harvest records for items available in the Online Reading Room. Please note that only records for items in the Online Reading Room can be harvested this way. We don't support all the verbs, or any formats beyond MODS.","https://github.com/WGBH-MLA/AAPB2#api,https://pbcore.org/","https://americanarchive.org/api.js,https://americanarchive.org/api.xml,https://americanarchive.org/api.json","HTTP,OAI-PMH","XML, JSON, JSONP","id,pbcoreIdentifier",,,broadcasting,,,,,,,,,pbcore,
arXiv API Access,https://info.arxiv.org/help/api/index.html,"The Cornell University e-print arXiv, hosted at arXiv.org, is a document submission and retrieval system that is heavily used by the physics, mathematics and computer science communities. It has become the primary means of communicating cutting-edge manuscripts on current and ongoing research. The primary interface to the arXiv has been human-oriented html web pages. The purpose of the arXiv API is to allow programmatic access to the arXiv's e-print content and metadata. The goal of the interface is to facilitate new and creative use of the the vast body of material on the arXiv by providing a low barrier to entry for application developers.","https://info.arxiv.org/help/api/user-manual.html#Architecture,https://info.arxiv.org/help/oa/index.html,https://info.arxiv.org/help/api/user-manual.html#52-details-of-atom-results-returned",http://export.arxiv.org/api/query,"HTTP,OAI-PMH",XML,"arXiv id,doi","(Rate limits Please note that the following rate limits apply to all of the machines under your control as a whole. You should not attempt to overcome these limits by increasing the number of machines used to make requests. If your use-case requires a higher request rate, please contact our support team.  When using the legacy APIs (including OAI-PMH, RSS, and the arXiv API), make no more than one request every three seconds, and limit requests to a single connection at a time.","https://info.arxiv.org/help/license/index.html
(You are free to use descriptive metadata1 about arXiv e-prints under the terms of the Creative Commons Universal (CC0 1.0) Public Domain Declaration. Metadata are provided by authors, volunteer moderators, arXiv staff, and external partners)[https://info.arxiv.org/help/api/tou.html].",mixed,https://arxiv.org/category_taxonomy,,,,,,atom,,,"https://info.arxiv.org/help/bulk_data.html#harvest,https://info.arxiv.org/help/api/index.html"
Springer Nature API portal,https://dev.springernature.com/,"Springer Nature is a leading global scientific publisher of books and journals, delivering quality content through innovative information products and services. It publishes close to 500 academic and professional society journals. In the science, technology and medicine (STM) sector, the group publishes about 3,000 journals and 13,000 new books a year, as well as the largest STM eBook Collection worldwide. Springer Nature has operations in about 20 countries in Europe, the USA, and Asia, and more than 10,000 employees. The Springer Nature API supports a number of different operations and return formats. These can be controlled by issuing RESTful requests to the API service at http://api.springernature.com","https://dev.springernature.com/restfuloperations,https://dev.springernature.com/adding-constraints,https://dev.springernature.com/documentation","http://api.springernature.com/meta/v2,http://api.springernature.com/openaccess,http://api.springernature.com/metadata",HTTP,"XML, JSON, JSONP","doi,issn,isbn,journalid",https://www.springernature.com/gp/legal/general-terms-of-use/15067848,https://dev.springernature.com/terms-conditions,mixed,,https://www.springernature.com/gp/researchers/text-and-data-mining,,,,,dc,,,
Caselaw Access Project bu Harvard Law School,https://case.law/docs/site_features/api,"The Caselaw Access Project (“CAP”) expands public access to U.S. law. Our goal is to make all published U.S. court decisions freely available to the public online, in a consistent format, digitized from the collection of the Harvard Law School Library. We created CAP's initial collection by digitizing roughly 40 million pages of court decisions contained in roughly 40,000 bound volumes owned by the Harvard Law School Library. The Harvard Law School Collection includes volumes published through 2018. The Harvard Law School Collection was digitized on site at Langdell Hall. Members of our team created metadata for each volume, including a unique barcode, reporter name, title, jurisdiction, publication date and other volume-level information. We then used a high-speed scanner to produce JP2 and TIF images of every page. A vendor then used OCR to extract the text of every case, creating case-level XML files. Key metadata fields, like case name, citation, court and decision date, were corrected for accuracy, while the text of each case was left as raw OCR output. In addition, for cases from volumes not yet in the public domain, our vendor redacted any headnotes.",https://case.law/docs/learning_tracks/APIs/in_depth,https://api.case.law/v1/,HTTP,"XML, JSON","id,courtid",https://case.law/docs/policies/access_limits,https://case.law/docs/policies/access_limits#commercial-licensing,"Social sciences (economy, sociology, psychology, political science)",,,,,,,,,,https://case.law/download/bulk_exports/
Congress.gov API,https://api.congress.gov/,"The beta Congress.gov Application Programming Interface (API) provides a method for Congress and the public to view, retrieve, and re-use machine-readable data from collections available on Congress.gov. This repository contains information on accessing and using the beta Congress.gov API, as well as documentation on available endpoints.","https://github.com/LibraryOfCongress/api.congress.gov/,https://github.com/LibraryOfCongress/api.congress.gov/tree/main/Documentation",https://api.congress.gov/,"HTTP,Swagger","XML, JSON","id,number","The rate limit is set to 1,000 requests per hour.
By default, the API returns 20 results starting with the first record. The 20 results limit can be adjusted up to 250 results. If the limit is adjusted to be greater than 250 results, only 250 results will be returned. The offset, or the starting record, can also be adjusted to be greater than 0.",https://www.loc.gov/legal,mixed,,,CKAN,,https://github.com/LibraryOfCongress/api.congress.gov/,,,,,https://www.govinfo.gov/bulkdata
CORE API,https://core.ac.uk/services/api,"CORE is the world's largest aggregator of open access research papers from repositories and journals. It is a not-for-profit service dedicated to the open access mission. We serve the global network of repositories and journals by increasing the discoverability and reuse of open access content. We provide solutions for content management, discovery and scalable machine access to research. Our services support a wide range of stakeholders, specifically researchers, the general public, academic institutions, developers, funders and companies from a diverse range of sectors including but not limited to innovators, AI technology companies, digital library solutions and pharma. CORE collects, harmonises and enriches large quantities of both metadata and full text research articles from thousands of data providers. On top of this continuously growing corpus, we provide a truly unique API providing real-time machine access to both the metadata and full texts of research papers, enabling developers to build and run innovative applications on top of CORE's content.",https://api.core.ac.uk/docs/v3,,HTTP,JSON,,The API limits are designed to allow reasonable usage and we will change them depending on the load on our servers. You are able to monitor our current api limit by looking for our customised HTTP headers: X-RateLimitRemaining X-RateLimit-Retry-After X-RateLimit-Limit,https://core.ac.uk/terms,mixed,,,,Core,,,,,,
Crossref REST API,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,"Crossref makes research objects easy to find, cite, link, assess, and reuse. We’re a not-for-profit membership organization that exists to make scholarly communications better. Our publicly available REST API exposes the metadata that members deposit with Crossref when they register their content with us. And it’s not just the bibliographic metadata either: funding data, license information, full-text links, ORCID iDs, abstracts, and Crossmark updates are in members’ metadata too. You can search, facet, filter, or sample metadata from thousands of members, and the results are returned in JSON.",https://www.crossref.org/documentation/retrieve-metadata/rest-api/,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,"HTTP, OAI-PMH,Swagger","XML, JSON","doi,datacite,medra,issn,orcid,ror,isbn",There is a maximum row limit of 2000.,https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,mixed,,https://www.crossref.org/documentation/retrieve-metadata/rest-api/text-and-data-mining/,,Crossref,"https://gitlab.com/crossref,https://github.com/CrossRef/rest-api-doc",,"rdf,dc,prism,owl,bibo,foaf",catalog,"csl,schema.org,rdf/xml,turtle",https://academictorrents.com/browse.php?search=Crossref
Dataverse,https://guides.dataverse.org/en/4.6/api/index.html,"We encourage anyone interested in building tools to interoperate with the Dataverse to utilize our APIs. In 4.0, we require to get a token, by simply registering for a Dataverse account, before using our APIs (We are considering making some of the APIs completely public in the future - no token required - if you use it only a few times).",https://guides.dataverse.org/en/6.0/api/index.html,,SWORD,"XML, JSON","id,doi",,https://theopenscholar.com/terms-service,mixed,,,Dataverse,The Institute for Quantitative Social Science,https://github.com/IQSS/dataverse,,,,,
Digital Public Library of America,https://pro.dp.la/developers/api-codex,"The DPLA API is built with the same principles of openness in mind that underlie the broader project it supports. We wish to make the barrier to public access as low as possible, in order to facilitate broader engagement and model accessibility for other institutions similarly situated. All requests are presumed to be ‘friendly’ requests — that is, requests that respect the API’s operating parameters and capacity to deliver data. https://pro.dp.la/developers/object-structure https://pro.dp.la/developers/philosophy","https://pro.dp.la/developers/requests,https://pro.dp.la/developers/responses",https://api.dp.la/v2,,JSON-LD,id,https://pro.dp.la/developers/policies,,CHO (Cultural Heritage Organizations),,,,,https://github.com/dpla,DPLA,"dc, dcterms, dcmitype, dpla, ore, rdf, rdfs, skos, owl,edm",,"map,mods,ore,rdf",https://digitalpubliclibraryofamerica.atlassian.net/wiki/spaces/TECH/pages/5931056/Database+export+files
Europeana API,https://pro.europeana.eu/page/apis,"Europeana APIs allow you to build applications that use the wealth of our collections drawn from the major museums and galleries across Europe. Their scope includes millions of cultural heritage items (from books and paintings to 3D objects and audiovisual material) that celebrate around 4,000 cultural institutions across Europe.
If you want to search Europeana in an simple way (for instance 'give me all results for the word cat), you can then use the Search API. But if you are looking for a way to delve into the structured metadata of Europeana (For instance, to ask the question ""What are all the French 18th-century painters with at least five artworks available through Europeana'), then the SPARQL service is more appropriate. On the other, if you want to get all the metadata associated with a single item, then you can use the Record API. It also possible to obtain a larger amount of metadata and ultimately harvest the complete Europeana repository by using the OAI-PMH Service. Regarding contextual information that is associated to items, we also offer an Entity API that gives you access to information such as Topics, Persons and Places. Lastly, if you want to contribute information about the items that are available on Europeana, you can do it via the Annotations API.","https://pro.europeana.eu/page/apis,https://pro.europeana.eu/page/api-rest-console",https://api.europeana.eu/record/v2/,"HTTP, OAI-PMH, SPARQL","XML, JSONP, JSON-LD, RDF",id,,https://www.europeana.eu/en/rights/terms-of-use,,,,,,https://github.com/europeana,,"dc, dcterms, ore, rdf, skos, owl, cc, foaf, rdaGr2, wgs84, edm",,,
