"Canadian Astronomy Data Centre (CADC)","Canadian Astronomy Data Centre (CADC), Herzberg Astronomy and Astrophysics Research Centre, National Research Council Canada","https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/en/","https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/raven/","https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/en/doc/data/#api","in house",,"National Research Council Canada, Herzberg Astronomy and Astrophysics Research Centre, Canadian Astronomy Data Centre, 5071 West Saanich Rd. Victoria, BC, Canada, V9E 2E7, Victoria, CA","2026-10-18"
"Dutch Language Institute","Dutch Language Institute","https://www.ivdnt.org/","X","X","X",,"Rapenburg 61, Leiden, NL","2026-10-18"
"Edmond","Max Planck Digital Library","https://edmond.mpdl.mpg.de/","https://edmond.mpdl.mpg.de/api/","https://guides.dataverse.org/en/latest/api/index.html","Dataverse",,"Amalienstrasse 33, Munich, DE","2026-10-18"
"MOST Wiedzy Open Research Data Catalog","Gdańsk University of Technology","https://pg.edu.pl/,https://mostwiedzy.pl/en/?","https://mostwiedzy.pl/en/rest-api","https://api.mostwiedzy.pl/","in house",,"11/12 Gabriela Narutowicza Street, Gdansk, PL","2026-10-09"
"British Oceanographic Data Centre","National Oceanography Centre","https://www.bodc.ac.uk/","https://www.bodc.ac.uk/data/published_data_library/","X","in house",,"Joseph Proudman Building, 6 Brownlow Street,, Liverpool, L3 5DA, GB","2026-10-04"
"Geoscience Australia","Australian Federal Government","http://www.ga.gov.au/","https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/search?from=1&to=20","X","in house",,"GPO Box 378, Canberra, AU","2026-10-04"
"Immune Epitope Database and Analysis Resource","La Jolla Institute for Immunology","http://www.iedb.org/","https://nextgen-tools.iedb.org/","https://api-nextgen-tools.iedb.org/apidocs","in house",,"9420 Athena Circle, La Jolla, US","2026-09-30"
"CLARIN Center BBAW","Berlin-Brandenburg Academy of Sciences and Humanities (BBAW)","https://clarin.bbaw.de/en/","https://clarin.bbaw.de/en/search/","https://clarin.bbaw.de:8088/oaiprovider?verb=Identify","Fedora Commons",,"Jägerstr. 22-23, Berlin, DE","2026-09-13"
"QSAR DataBank","Institute of chemistry, University of Tartu, Estonia","https://qsardb.org/","https://qsardb.org/repository/",,"Dspace",,"Ravila 14a, Tartu 50411, EE","2026-09-13"
"IFREMER-SISMER","Institut français de recherche pour l'exploitation de la mer (IFREMER)","http://data.ifremer.fr/","https://www.seanoe.org/","https://www.seanoe.org/html/api.htm","in house",,"Ifremer - Département Infrastructures de Recherche et Systèmes d'Information, 1625 Route de Ste Anne CS10070 - 29280 Plouzané, France, Plouzané, FR","2026-09-13"
